station_id,2022-02-18
CDEC:ADM,9.7
CDEC:AGP,-9999.0
CDEC:ALP,11.06
CDEC:BCB,18.92
CDEC:BCH,-9999.0
CDEC:BFL,9.72
CDEC:BGP,12.78
CDEC:BIM,25.54
CDEC:BKL,41.64
CDEC:BLA,6.0
CDEC:BLC,14.36
CDEC:BLD,17.64
CDEC:BLK,16.7
CDEC:BLS,16.44
CDEC:BMW,15.7
CDEC:BNK,14.04
CDEC:BSK,16.4
CDEC:CDP,9.8
CDEC:CHM,20.52
CDEC:CHP,8.37
CDEC:CRL,-9999.0
CDEC:CSL,25.7
CDEC:CSV,11.02
CDEC:CWD,8.64
CDEC:CWF,0.4
CDEC:CXS,16.9
CDEC:DAN,-9999.0
CDEC:DDM,12.96
CDEC:DPO,18.79
CDEC:DSS,19.0
CDEC:EBB,17.9
CDEC:EP5,26.8
CDEC:FDC,20.4
CDEC:FLL,7.3
CDEC:FRN,-9999.0
CDEC:FRW,0.0
CDEC:GEM,22.27
CDEC:GIN,-9999.0
CDEC:GKS,15.48
CDEC:GNF,3.24
CDEC:GNL,20.88
CDEC:GRM,0.81
CDEC:GRV,18.36
CDEC:GRZ,19.2
CDEC:HGM,13.8
CDEC:HIG,9.0
CDEC:HMB,22.7
CDEC:HNT,12.72
CDEC:HOR,13.3
CDEC:HRK,15.81
CDEC:HRS,-9999.0
CDEC:HVN,16.0
CDEC:HYS,19.32
CDEC:IDC,-9999.0
CDEC:IDP,33.6
CDEC:INN,10.4
CDEC:KTL,4.19
CDEC:LBD,9.3
CDEC:LLP,51.28
CDEC:LVM,10.8
CDEC:LVT,37.2
CDEC:MDW,30.73
CDEC:MED,12.96
CDEC:MHP,28.92
CDEC:MNT,11.1
CDEC:MRL,15.7
CDEC:MSK,26.9
CDEC:MTM,22.12
CDEC:PDS,-9999.0
CDEC:PET,8.76
CDEC:PSC,14.18
CDEC:PSN,14.1
CDEC:QUA,10.8
CDEC:RBP,12.94
CDEC:RCC,26.34
CDEC:RCK,10.2
CDEC:RP2,18.4
CDEC:RRM,12.94
CDEC:RTL,8.4
CDEC:SCN,-9999.0
CDEC:SCT,2.04
CDEC:SDF,11.88
CDEC:SDW,12.0
CDEC:SHM,8.1
CDEC:SIL,15.05
CDEC:SLM,18.52
CDEC:SLT,3.0
CDEC:SPS,11.6
CDEC:SPT,4.4
CDEC:SQV,20.1
CDEC:SSM,55.7
CDEC:SWM,-9999.0
CDEC:TCC,8.6
CDEC:TK2,13.6
CDEC:TMR,11.04
CDEC:TNY,-9999.0
CDEC:TUM,-9999.0
CDEC:UBC,-9999.0
CDEC:UTY,-9999.0
CDEC:VLC,-9999.0
CDEC:VRG,10.3
CDEC:VVL,22.66
CDEC:WC3,22.7
CDEC:WHW,-9999.0
CDEC:WTM,-9999.0
CDEC:WWC,12.8
SNOTEL:1000_OR_SNTL,16.6
SNOTEL:1004_WA_SNTL,-9999.0
SNOTEL:1005_CO_SNTL,6.6
SNOTEL:1007_OR_SNTL,-9999.0
SNOTEL:1009_MT_SNTL,6.0
SNOTEL:1010_OR_SNTL,8.8
SNOTEL:1011_WA_SNTL,31.2
SNOTEL:1012_WA_SNTL,48.2
SNOTEL:1013_UT_SNTL,9.1
SNOTEL:1014_CO_SNTL,6.8
SNOTEL:1015_WY_SNTL,6.8
SNOTEL:1016_ID_SNTL,6.7
SNOTEL:1017_NM_SNTL,7.4
SNOTEL:1018_OR_SNTL,-9999.0
SNOTEL:1019_OR_SNTL,-9999.0
SNOTEL:1020_OR_SNTL,-9999.0
SNOTEL:1021_OR_SNTL,-9999.0
SNOTEL:1022_OR_SNTL,-9999.0
SNOTEL:1023_OR_SNTL,-9999.0
SNOTEL:1024_OR_SNTL,-9999.0
SNOTEL:1025_OR_SNTL,-9999.0
SNOTEL:1027_OR_SNTL,-9999.0
SNOTEL:1028_OR_SNTL,-9999.0
SNOTEL:1029_OR_SNTL,-9999.0
SNOTEL:1030_CO_SNTL,15.5
SNOTEL:1031_CO_SNTL,15.8
SNOTEL:1032_CO_SNTL,7.6
SNOTEL:1033_CO_SNTL,18.6
SNOTEL:1034_NM_SNTL,1.1
SNOTEL:1038_ID_SNTL,-9999.0
SNOTEL:1039_UT_SNTL,7.9
SNOTEL:1040_CO_SNTL,9.5
SNOTEL:1043_WA_SNTL,7.1
SNOTEL:1044_OR_SNTL,6.9
SNOTEL:1045_WY_SNTL,3.7
SNOTEL:1046_WY_SNTL,13.8
SNOTEL:1048_NM_SNTL,0.0
SNOTEL:1050_CA_SNTL,13.6
SNOTEL:1051_CA_SNTL,15.9
SNOTEL:1052_CA_SNTL,12.0
SNOTEL:1053_ID_SNTL,7.5
SNOTEL:1054_UT_SNTL,10.4
SNOTEL:1058_CO_SNTL,1.6
SNOTEL:1061_CO_SNTL,6.2
SNOTEL:1065_UT_SNTL,10.6
SNOTEL:1066_UT_SNTL,8.2
SNOTEL:1067_CA_SNTL,16.9
SNOTEL:1068_WA_SNTL,20.7
SNOTEL:1077_OR_SNTL,11.2
SNOTEL:1079_OR_SNTL,24.7
SNOTEL:1082_WY_SNTL,23.0
SNOTEL:1084_OR_SNTL,0.0
SNOTEL:1085_WA_SNTL,36.9
SNOTEL:1098_UT_SNTL,16.7
SNOTEL:1099_UT_SNTL,6.4
SNOTEL:1100_CO_SNTL,8.2
SNOTEL:1101_CO_SNTL,11.2
SNOTEL:1104_WA_SNTL,9.9
SNOTEL:1105_MT_SNTL,3.8
SNOTEL:1107_WA_SNTL,32.6
SNOTEL:1109_WA_SNTL,1.3
SNOTEL:1110_NV_SNTL,7.5
SNOTEL:1111_NV_SNTL,9.6
SNOTEL:1113_UT_SNTL,8.8
SNOTEL:1114_UT_SNTL,11.7
SNOTEL:1115_UT_SNTL,12.2
SNOTEL:1119_WY_SNTL,21.4
SNOTEL:1120_CO_SNTL,16.8
SNOTEL:1121_AZ_SNTL,0.7
