station_id,2022-04-01
CDEC:ADM,3.4
CDEC:AGP,-9999.0
CDEC:ALP,0.28
CDEC:BCB,19.65
CDEC:BCH,-9999.0
CDEC:BFL,3.96
CDEC:BGP,9.55
CDEC:BIM,19.27
CDEC:BKL,0.0
CDEC:BLA,6.0
CDEC:BLC,0.92
CDEC:BLD,15.24
CDEC:BLK,15.3
CDEC:BLS,14.16
CDEC:BMW,15.9
CDEC:BNK,7.44
CDEC:BSK,11.8
CDEC:CDP,8.3
CDEC:CHM,17.64
CDEC:CHP,5.48
CDEC:CRL,-9999.0
CDEC:CSL,14.7
CDEC:CSV,7.08
CDEC:CWD,1.9
CDEC:CWF,0.0
CDEC:CXS,13.3
CDEC:DAN,-9999.0
CDEC:DDM,14.05
CDEC:DPO,4.1
CDEC:DSS,16.6
CDEC:EBB,16.4
CDEC:EP5,18.9
CDEC:FDC,18.5
CDEC:FLL,-9999.0
CDEC:FRN,-9999.0
CDEC:FRW,1.43
CDEC:GEM,22.45
CDEC:GIN,-9999.0
CDEC:GKS,6.84
CDEC:GNF,0.0
CDEC:GNL,20.16
CDEC:GRM,0.49
CDEC:GRV,21.96
CDEC:GRZ,8.64
CDEC:HGM,-9999.0
CDEC:HIG,0.48
CDEC:HMB,2.68
CDEC:HNT,8.76
CDEC:HOR,8.0
CDEC:HRK,0.49
CDEC:HRS,-9999.0
CDEC:HVN,10.9
CDEC:HYS,16.8
CDEC:IDC,10.2
CDEC:IDP,34.7
CDEC:INN,5.0
CDEC:KTL,2.84
CDEC:LBD,8.5
CDEC:LLP,52.55
CDEC:LVM,0.0
CDEC:LVT,40.8
CDEC:MDW,29.31
CDEC:MED,7.32
CDEC:MHP,26.28
CDEC:MNT,8.3
CDEC:MRL,15.8
CDEC:MSK,25.1
CDEC:MTM,23.64
CDEC:PDS,-9999.0
CDEC:PET,0.84
CDEC:PSC,12.67
CDEC:PSN,11.6
CDEC:QUA,1.56
CDEC:RBP,0.0
CDEC:RCC,17.64
CDEC:RCK,3.43
CDEC:RP2,14.5
CDEC:RRM,2.0
CDEC:RTL,0.0
CDEC:SCN,-9999.0
CDEC:SCT,0.24
CDEC:SDF,1.08
CDEC:SDW,11.0
CDEC:SHM,-9999.0
CDEC:SIL,8.01
CDEC:SLM,16.63
CDEC:SLT,3.0
CDEC:SPS,13.5
CDEC:SPT,-9999.0
CDEC:SQV,15.1
CDEC:SSM,51.83
CDEC:SWM,-9999.0
CDEC:TCC,0.2
CDEC:TK2,5.6
CDEC:TMR,0.48
CDEC:TNY,-9999.0
CDEC:TUM,-9999.0
CDEC:UBC,-9999.0
CDEC:UTY,-9999.0
CDEC:VLC,-9999.0
CDEC:VRG,10.7
CDEC:VVL,18.8
CDEC:WC3,18.4
CDEC:WHW,-9999.0
CDEC:WTM,-9999.0
CDEC:WWC,11.78
SNOTEL:1000_OR_SNTL,19.0
SNOTEL:1004_WA_SNTL,-9999.0
SNOTEL:1005_CO_SNTL,10.0
SNOTEL:1007_OR_SNTL,-9999.0
SNOTEL:1009_MT_SNTL,6.8
SNOTEL:1010_OR_SNTL,0.0
SNOTEL:1011_WA_SNTL,46.1
SNOTEL:1012_WA_SNTL,61.7
SNOTEL:1013_UT_SNTL,10.2
SNOTEL:1014_CO_SNTL,8.8
SNOTEL:1015_WY_SNTL,11.2
SNOTEL:1016_ID_SNTL,0.4
SNOTEL:1017_NM_SNTL,7.4
SNOTEL:1018_OR_SNTL,-9999.0
SNOTEL:1019_OR_SNTL,-9999.0
SNOTEL:1020_OR_SNTL,-9999.0
SNOTEL:1021_OR_SNTL,-9999.0
SNOTEL:1022_OR_SNTL,-9999.0
SNOTEL:1023_OR_SNTL,-9999.0
SNOTEL:1024_OR_SNTL,-9999.0
SNOTEL:1025_OR_SNTL,-9999.0
SNOTEL:1027_OR_SNTL,-9999.0
SNOTEL:1028_OR_SNTL,-9999.0
