,location,elevation_m,Lat,Long,state,Date,SWE,Region,Prev_SWE,Delta_SWE
CDEC:ADM,Adin Mountain,1889.76,41.237,-120.792,California,2023-03-04,17.0,N_Sierras,13.6,3.4000000000000004
CDEC:BKL,Bucks Lake,1790.0904,39.852921,-121.25135,California,2023-03-04,58.44,N_Sierras,50.64,7.799999999999997
CDEC:BLA,Blacks Mountain,2148.84,40.76984,-121.199783,California,2023-03-04,36.60148936170212,N_Sierras,32.02042553191489,4.581063829787233
CDEC:BLC,Blue Canyon,1609.344,39.280098,-120.708694,California,2023-03-04,32.99,N_Sierras,26.18,6.810000000000002
CDEC:BMW,Big Meadows (Scs),2651.76,39.458,-119.945999,California,2023-03-04,33.6,N_Sierras,29.6,4.0
CDEC:CDP,Cedar Pass,2164.08,41.583,-120.303001,California,2023-03-04,20.5,N_Sierras,18.5,2.0
CDEC:CSL,Cent Sierra Snow Lab,2103.12,39.325001,-120.366997,California,2023-03-04,51.3,N_Sierras,44.8,6.5
CDEC:CWF,Crowder Flat,1554.48,41.893398,-120.7519,California,2023-03-04,5.7,N_Sierras,5.1,0.6000000000000005
CDEC:DSS,Dismal Swamp,2148.84,41.993,-120.165001,California,2023-03-04,28.4,N_Sierras,25.5,2.8999999999999986
CDEC:GKS,Greek Store,1706.88,39.07468,-120.5616,California,2023-03-04,34.8,N_Sierras,28.2,6.599999999999998
CDEC:GRZ,Grizzly Ridge,2103.12,39.917,-120.644997,California,2023-03-04,36.24,N_Sierras,31.56,4.680000000000003
CDEC:HIG,Highland Lakes,1837.944,41.091782,-122.49156200000002,California,2023-03-04,43.44,N_Sierras,41.64,1.7999999999999972
CDEC:HMB,Humbug,1981.2,40.115002,-121.367996,California,2023-03-04,52.3,N_Sierras,44.7,7.599999999999994
CDEC:HRK,Harkness Flat,1889.76,40.417999,-121.275002,California,2023-03-04,33.38,N_Sierras,29.85,3.530000000000001
CDEC:HYS,Huysink,2011.68,39.281422,-120.529633,California,2023-03-04,36.12,N_Sierras,31.2,4.919999999999998
CDEC:IDC,Independence Camp,2133.6,39.452587,-120.298546,California,2023-03-04,36.8,N_Sierras,31.9,4.899999999999999
CDEC:IDP,Independence Lake (Scs),2575.56,39.435001,-120.321999,California,2023-03-04,52.1,N_Sierras,46.7,5.399999999999999
CDEC:INN,Independence Creek,1981.2,39.493999,-120.292999,California,2023-03-04,19.3,N_Sierras,17.5,1.8000000000000007
CDEC:KTL,Kettle Rock,2225.04,40.139999,-120.714996,California,2023-03-04,24.58,N_Sierras,24.28,0.29999999999999716
CDEC:LLP,Lower Lassen Peak,2541.4224,40.466602,-121.50811000000002,California,2023-03-04,82.72,N_Sierras,76.6,6.1200000000000045
CDEC:MDW,Meadow Lake,2194.56,39.405663,-120.506058,California,2023-03-04,73.37,N_Sierras,65.81,7.560000000000002
CDEC:MED,Medicine Lake,2042.16,41.591389,-121.610832,California,2023-03-04,32.76,N_Sierras,30.0,2.759999999999998
CDEC:MRL,Marlette Lake,2438.4,39.173,-119.904999,California,2023-03-04,37.6,N_Sierras,33.1,4.5
CDEC:MSK,Mount Rose Ski Area,2712.7200000000007,39.326,-119.902,California,2023-03-04,58.0,N_Sierras,52.7,5.299999999999997
CDEC:RCC,Robinson Cow Camp,1975.104,39.621864,-120.679871,California,2023-03-04,0.87,N_Sierras,0.16,0.71
CDEC:RP2,Rubicon Peak 2,2286.0,39.000999,-120.139999,California,2023-03-04,47.7,N_Sierras,40.6,7.100000000000001
CDEC:RTL,Rattlesnake,1892.808,40.127911,-121.043968,California,2023-03-04,32.64,N_Sierras,28.8,3.84
CDEC:SDF,Sand Flat,2057.4,41.350239,-122.246529,California,2023-03-04,42.72,N_Sierras,40.32,2.3999999999999986
CDEC:SLT,Slate Creek,1737.36,41.04398,-122.480103,California,2023-03-04,49.8,N_Sierras,45.12,4.68
CDEC:SQV,Palisades Tahoe Snotel,2499.36,39.194,-120.276001,California,2023-03-04,57.3,N_Sierras,49.7,7.599999999999994
CDEC:SSM,Sunnyside Meadow,1920.24,39.698132,-120.782211,California,2023-03-04,0.0,N_Sierras,0.0,0.0
CDEC:TCC,Tahoe City Cross,2057.4,39.17144,-120.154655,California,2023-03-04,25.2,N_Sierras,21.0,4.199999999999999
CDEC:TK2,Truckee 2,1950.72,39.299999,-120.194,California,2023-03-04,29.7,N_Sierras,27.0,2.6999999999999993
CDEC:WC3,Ward Creek 3,2057.4,39.135574,-120.218681,California,2023-03-04,50.4,N_Sierras,43.8,6.600000000000001
SNOTEL:1242_NV_SNTL,Little Valley,1979.06640625,39.25259017944336,-119.8770980834961,Nevada,2023-03-04,26.9,N_Sierras,20.3,6.599999999999998
SNOTEL:1258_CA_SNTL,State Line,1731.2640380859375,41.98609161376953,-120.71573638916016,California,2023-03-04,6.6,N_Sierras,5.8,0.7999999999999998
SNOTEL:1277_CA_SNTL,Fredonyer Peak,2196.998291015625,40.68798828125,-120.60804748535156,California,2023-03-04,18.9,N_Sierras,15.0,3.8999999999999986
SNOTEL:301_CA_SNTL,Adin Mtn,1886.7120361328125,41.2358283996582,-120.79192352294922,California,2023-03-04,16.2,N_Sierras,13.8,2.3999999999999986
SNOTEL:340_NV_SNTL,Big Meadow,2510.028076171875,39.45500183105469,-119.94219970703124,Nevada,2023-03-04,33.6,N_Sierras,28.2,5.400000000000002
SNOTEL:428_CA_SNTL,Css Lab,2101.291259765625,39.32564926147461,-120.36807250976562,California,2023-03-04,51.2,N_Sierras,43.4,7.800000000000004
SNOTEL:540_CA_SNTL,Independence Creek,1961.6927490234373,39.49000930786133,-120.28225708007812,California,2023-03-04,19.3,N_Sierras,16.8,2.5
SNOTEL:541_CA_SNTL,Independence Lake,2541.42236328125,39.42752075195313,-120.31342315673828,California,2023-03-04,52.1,N_Sierras,45.1,7.0
SNOTEL:615_NV_SNTL,Marlette Lake,2403.043212890625,39.1639518737793,-119.89672088623048,Nevada,2023-03-04,37.6,N_Sierras,31.6,6.0
SNOTEL:652_NV_SNTL,Mt Rose Ski Area,2682.544921875,39.315731048583984,-119.8947296142578,Nevada,2023-03-04,58.0,N_Sierras,51.4,6.600000000000001
SNOTEL:784_CA_SNTL,Squaw Valley G.C.,2442.3623046875,39.18986129760742,-120.26576232910156,California,2023-03-04,56.9,N_Sierras,48.1,8.799999999999997
SNOTEL:809_CA_SNTL,Tahoe City Cross,2071.7255859375,39.1716194152832,-120.15361785888672,California,2023-03-04,25.3,N_Sierras,20.0,5.300000000000001
SNOTEL:834_CA_SNTL,Truckee #2,1983.9432373046875,39.30086898803711,-120.18406677246094,California,2023-03-04,29.8,N_Sierras,26.8,3.0
SNOTEL:848_CA_SNTL,Ward Creek #3,2055.8759765625,39.13544845581055,-120.2186508178711,California,2023-03-04,50.1,N_Sierras,42.5,7.600000000000001
CDEC:AGP,Agnew Pass,2880.36,37.726631,-119.141731,California,2023-03-04,45.65261538461539,S_Sierras,40.035396825396816,5.617218559218571
CDEC:ALP,Alpha (Smud),2316.48,38.804192,-120.215652,California,2023-03-04,47.8,S_Sierras,42.61,5.189999999999998
CDEC:BCB,Blackcap Basin,3139.44,37.066685,-118.77301,California,2023-03-04,45.65261538461539,S_Sierras,40.035396825396816,5.617218559218571
CDEC:BCH,Beach Meadows,2331.7200000000007,36.126095,-118.293457,California,2023-03-04,45.65261538461539,S_Sierras,40.035396825396816,5.617218559218571
CDEC:BGP,Big Pine Creek,2987.04,37.12781500000001,-118.476967,California,2023-03-04,46.59,S_Sierras,41.81,4.780000000000001
CDEC:BIM,Big Meadows (Dwr),2316.48,36.715225,-118.843773,California,2023-03-04,45.65261538461539,S_Sierras,40.035396825396816,5.617218559218571
CDEC:BLD,Bloods Creek,2194.56,38.451256,-120.034882,California,2023-03-04,32.52,S_Sierras,30.6,1.9200000000000017
CDEC:BLK,Blue Lakes,2438.4,38.612999,-119.931,California,2023-03-04,55.6,S_Sierras,50.1,5.5
CDEC:BLS,Black Springs,1981.2,38.375881,-120.195,California,2023-03-04,43.2,S_Sierras,36.24,6.960000000000001
CDEC:BSK,Burnside Lake,2477.7192,38.719398,-119.894203,California,2023-03-04,45.7,S_Sierras,40.3,5.400000000000006
CDEC:CHM,Chilkoot Meadow,2179.32,37.40839,-119.49218799999998,California,2023-03-04,68.76,S_Sierras,58.44,10.320000000000007
CDEC:CHP,Chagoopa Plateau,3139.44,36.497143,-118.446716,California,2023-03-04,35.69,S_Sierras,31.1,4.589999999999996
CDEC:CRL,Charlotte Lake,3169.92,36.777523,-118.42601,California,2023-03-04,57.1,S_Sierras,40.035396825396816,17.064603174603185
CDEC:CSV,Casa Vieja Meadows,2529.84,36.198097,-118.267685,California,2023-03-04,34.81,S_Sierras,30.62,4.190000000000001
CDEC:CWD,Cottonwood Lakes,3093.7200000000007,36.483829,-118.177559,California,2023-03-04,32.78,S_Sierras,28.82,3.960000000000001
CDEC:CXS,Carson Pass,2545.9944,38.692402,-120.002098,California,2023-03-04,42.7,S_Sierras,39.0,3.700000000000003
CDEC:DAN,Dana Meadows,2987.04,37.896999,-119.257004,California,2023-03-04,45.65261538461539,S_Sierras,40.035396825396816,5.617218559218571
CDEC:DDM,Deadman Creek,2819.4,38.33159600000001,-119.654114,California,2023-03-04,50.85,S_Sierras,45.61,5.240000000000002
CDEC:DPO,Devils Postpile,2307.0312,37.62941,-119.084671,California,2023-03-04,45.17,S_Sierras,40.31,4.859999999999999
CDEC:EBB,Ebbetts Pass,2651.76,38.561001,-119.807999,California,2023-03-04,56.9,S_Sierras,51.8,5.100000000000001
CDEC:EP5,Echo Peak 5,2377.44,38.848999,-120.079002,California,2023-03-04,63.8,S_Sierras,56.6,7.199999999999996
CDEC:FDC,Forestdale Creek,2443.5816,38.6824,-119.959702,California,2023-03-04,57.7,S_Sierras,51.2,6.5
CDEC:FLL,Fallen Leaf Lake,1905.0,38.931999,-120.056,California,2023-03-04,18.7,S_Sierras,15.8,2.8999999999999986
CDEC:FRN,Forni Ridge,2316.48,38.80397,-120.215919,California,2023-03-04,45.65261538461539,S_Sierras,40.035396825396816,5.617218559218571
CDEC:FRW,Farewell Gap,2895.600000000001,36.415211,-118.578979,California,2023-03-04,58.98,S_Sierras,52.51,6.469999999999999
CDEC:GEM,Gem Pass,3276.600000000001,37.779999,-119.169998,California,2023-03-04,45.65261538461539,S_Sierras,40.035396825396816,5.617218559218571
CDEC:GIN,Gin Flat,2148.84,37.766998,-119.773003,California,2023-03-04,45.65261538461539,S_Sierras,40.035396825396816,5.617218559218571
CDEC:GNF,Giant Forest (Usace),2026.92,36.562,-118.764999,California,2023-03-04,27.15,S_Sierras,21.36,5.789999999999999
CDEC:GNL,Gianelli Meadow,2560.32,38.20430800000001,-119.893188,California,2023-03-04,69.12,S_Sierras,61.44,7.680000000000007
CDEC:GRM,Green Mountain,2407.92,37.549599,-119.232559,California,2023-03-04,52.62,S_Sierras,45.61,7.009999999999998
CDEC:GRV,Graveyard Meadow,2103.12,37.46344000000001,-119.292892,California,2023-03-04,50.28,S_Sierras,43.32,6.960000000000001
CDEC:HGM,Hagans Meadow,2438.4,38.853001,-119.940002,California,2023-03-04,38.5,S_Sierras,33.6,4.899999999999999
CDEC:HNT,Huntington Lake (Usbr),2133.6,37.22757,-119.220482,California,2023-03-04,45.65261538461539,S_Sierras,40.035396825396816,5.617218559218571
CDEC:HOR,Horse Meadow (Nrcs),2608.1736,38.836498,-119.887299,California,2023-03-04,40.2,S_Sierras,36.2,4.0
CDEC:HRS,Horse Meadow,2560.32,38.158001,-119.662003,California,2023-03-04,73.17,S_Sierras,65.84,7.329999999999998
CDEC:HVN,Heavenly Valley,2682.24,38.929001,-119.917,California,2023-03-04,44.0,S_Sierras,38.6,5.399999999999999
CDEC:LBD,Lobdell Lake,2804.1600000000008,38.439999,-119.376999,California,2023-03-04,40.8,S_Sierras,37.1,3.6999999999999957
CDEC:LVM,Leavitt Meadows,2194.56,38.305,-119.552002,California,2023-03-04,32.0,S_Sierras,27.6,4.399999999999999
CDEC:LVT,Leavitt Lake,2926.08,38.282001,-119.621002,California,2023-03-04,79.7,S_Sierras,72.6,7.1000000000000085
CDEC:MHP,Mammoth Pass (Usbr),2834.640000000001,37.6124,-119.031746,California,2023-03-04,75.12,S_Sierras,63.84,11.280000000000001
CDEC:MNT,Monitor Pass,2545.08,38.669998,-119.614998,California,2023-03-04,42.8,S_Sierras,38.7,4.099999999999994
CDEC:MTM,Mitchell Meadow,3017.52,36.737,-118.711998,California,2023-03-04,62.69,S_Sierras,57.14,5.549999999999997
CDEC:PDS,Paradise Meadow,2331.7200000000007,38.047001,-119.669998,California,2023-03-04,45.65261538461539,S_Sierras,40.035396825396816,5.617218559218571
CDEC:PSC,Pascoes,2788.92,35.966999,-118.349998,California,2023-03-04,50.26,S_Sierras,43.04,7.219999999999999
CDEC:PSN,Poison Flat,2407.92,38.500999,-119.630997,California,2023-03-04,46.1,S_Sierras,40.5,5.600000000000001
CDEC:QUA,Quaking Aspen,2194.56,36.117508,-118.539993,California,2023-03-04,36.84,S_Sierras,30.6,6.240000000000002
CDEC:RBP,Robbs Powerhouse,1569.72,38.902382,-120.376541,California,2023-03-04,22.81,S_Sierras,16.66,6.149999999999999
CDEC:RCK,Rock Creek Lakes,2956.56,37.457275,-118.735023,California,2023-03-04,31.75,S_Sierras,29.16,2.59
CDEC:SCN,Schneiders,2667.0,38.747002,-120.068001,California,2023-03-04,39.88,S_Sierras,37.37,2.510000000000005
CDEC:SDW,Summit Meadow,2838.6024,38.397499,-119.535599,California,2023-03-04,46.6,S_Sierras,40.9,5.700000000000003
CDEC:SIL,Silver Lake,2164.08,38.679604,-120.118195,California,2023-03-04,39.73,S_Sierras,34.44,5.289999999999999
CDEC:SLM,Stanislaus Meadow,2362.2000000000007,38.505501,-119.937302,California,2023-03-04,32.42,S_Sierras,40.035396825396816,-7.6153968253968145
CDEC:SPS,Sonora Pass Bridge,2667.0,38.318001,-119.600998,California,2023-03-04,43.6,S_Sierras,39.1,4.5
CDEC:SPT,Spratt Creek,1874.52,38.666271,-119.817421,California,2023-03-04,22.2,S_Sierras,20.3,1.8999999999999986
CDEC:SWM,Sawmill,3108.96,37.16196400000001,-118.562592,California,2023-03-04,33.03,S_Sierras,29.98,3.0500000000000007
CDEC:TMR,Tamarack Summit,2301.24,37.16375,-119.200531,California,2023-03-04,48.48,S_Sierras,42.72,5.759999999999998
CDEC:TNY,Tenaya Lake,2484.120000000001,37.838001,-119.447998,California,2023-03-04,45.65261538461539,S_Sierras,40.035396825396816,5.617218559218571
CDEC:TUM,Tuolumne Meadows,2621.28,37.873001,-119.349998,California,2023-03-04,45.65261538461539,S_Sierras,40.035396825396816,5.617218559218571
CDEC:UBC,Upper Burnt Corral,2956.56,37.183296,-118.938293,California,2023-03-04,45.65261538461539,S_Sierras,40.035396825396816,5.617218559218571
CDEC:UTY,Upper Tyndall Creek,3474.7200000000007,36.650002,-118.397003,California,2023-03-04,45.65261538461539,S_Sierras,40.035396825396816,5.617218559218571
CDEC:VLC,Volcanic Knob,3063.24,37.38785900000001,-118.905037,California,2023-03-04,43.36,S_Sierras,39.21,4.149999999999999
CDEC:VRG,Virginia Lakes Ridge,2834.640000000001,38.077,-119.234001,California,2023-03-04,38.3,S_Sierras,33.6,4.699999999999996
CDEC:VVL,Van Vleck,2042.16,38.943947,-120.306061,California,2023-03-04,47.16,S_Sierras,40.27,6.8899999999999935
CDEC:WHW,White Wolf,2407.92,37.859501,-119.651604,California,2023-03-04,45.65261538461539,S_Sierras,40.035396825396816,5.617218559218571
CDEC:WTM,Wet Meadows,2727.96,36.348,-118.571999,California,2023-03-04,48.06,S_Sierras,41.36,6.700000000000003
CDEC:WWC,West Woodchuck Meadow,2773.6800000000007,37.029999,-118.917999,California,2023-03-04,54.44,S_Sierras,47.8,6.640000000000001
SNOTEL:1050_CA_SNTL,Horse Meadow,2608.173583984375,38.83652114868164,-119.88732147216795,California,2023-03-04,40.2,S_Sierras,34.8,5.400000000000006
SNOTEL:1051_CA_SNTL,Burnside Lake,2477.71923828125,38.71942901611328,-119.89420318603516,California,2023-03-04,46.0,S_Sierras,38.7,7.299999999999997
SNOTEL:1052_CA_SNTL,Summit Meadow,2838.602294921875,38.39746856689453,-119.53521728515624,California,2023-03-04,46.7,S_Sierras,39.0,7.700000000000003
SNOTEL:1067_CA_SNTL,Carson Pass,2548.1279296875,38.69269943237305,-120.002197265625,California,2023-03-04,42.9,S_Sierras,37.4,5.5
SNOTEL:356_CA_SNTL,Blue Lakes,2458.821533203125,38.608001708984375,-119.92436981201172,California,2023-03-04,55.6,S_Sierras,48.3,7.300000000000004
